name,category,address,city,state,zip,phone,website,short_description,source_url
Bird in a Bush Boutique,Retail & Shopping,214 W Commerce St,Lewisburg,TN,37091,(931) 422-5554,,Downtown boutique,https://www.shopdowntown.org/pages/shop-downtown-Lewisburg-Tennessee
Brooks Grocery,Retail & Shopping,,Chapel Hill,TN,37034,,https://www.brooksgrocery.com/,Local grocery and deli,https://www.chapelhilltn.com/local-businesses
Dollar General,Retail & Shopping,1201 Yell Rd,Lewisburg,TN,37091,(931) 422-8510,https://www.dollargeneral.com/,Discount variety store,https://www.ladysavings.com/dollargeneral-lewisburg-tn/
Dollar General,Retail & Shopping,4482 Nashville Hwy,Chapel Hill,TN,37034,(615) 657-5109,https://www.dollargeneral.com/,Discount variety store,https://www.yelp.com/biz/dollar-general-chapel-hill-2
Dollar General,Retail & Shopping,415 N Main St,Cornersville,TN,37047,,https://www.dollargeneral.com/,Discount variety store,https://www.yelp.com/biz/dollar-general-cornersville-2
Family Dollar,Retail & Shopping,400 N Main St,Cornersville,TN,37047,(931) 246-6921,https://www.familydollar.com/locations/tn/cornersville/,Discount variety store,https://locations.familydollar.com/tn/cornersville/400-n-main-street
Gone Postal Marketplace,Retail & Shopping,,Lewisburg,TN,37091,,https://www.facebook.com/p/Gone-Postal-Marketplace-100054234500613/,Marketplace / vendor mall,https://www.facebook.com/p/Gone-Postal-Marketplace-100054234500613/
Guthrie's Ace Hardware,Retail & Shopping,,Chapel Hill,TN,37034,,https://www.acehardware.com/store-details/16936,Full-service hardware store,https://www.chapelhilltn.com/local-businesses
J & J Antiques,Retail & Shopping,131 E Commerce St,Lewisburg,TN,37091,(931) 993-2338,https://www.facebook.com/antiqueslewisburgtn/,Antique shop,https://www.yelp.com/biz/j-and-j-antiques-lewisburg
Kroger,Retail & Shopping,301 S Ellington Pkwy,Lewisburg,TN,37091,(931) 359-2980,https://www.kroger.com/stores/grocery/tn/lewisburg,Grocery store with pharmacy,https://www.kroger.com/stores/grocery/tn/lewisburg
Lewisburg Antique Mall,Retail & Shopping,,Lewisburg,TN,37091,,,Antique mall,https://lewisburg.second-hand.shop/
Lewisburg Jewelry,Retail & Shopping,564 E Commerce St,Lewisburg,TN,37091,(931) 359-1950,,Jewelry store,https://www.shopdowntown.org/pages/shop-downtown-Lewisburg-Tennessee
Mad Smoke & Vape,Retail & Shopping,1350 N Ellington Pkwy,Lewisburg,TN,37091,,,Tobacco and vape smoke shop,https://www.yelp.com/biz/mad-smoke-and-vape-lewisburg
Main Street Flowers,Retail & Shopping,,Chapel Hill,TN,37034,,https://www.mainstreetflowers.net/,Florist serving Chapel Hill area,https://www.chapelhilltn.com/local-businesses
Petersburg Food & Merchandise,Retail & Shopping,101 Buchanan St,Petersburg,TN,37144,,,General store: food and merchandise,https://www.yellowpages.com/petersburg-tn/mip/petersburg-food-merchandise-5083322
Rooster's Liquidation Outlet,Retail & Shopping,,Chapel Hill,TN,37034,,https://www.facebook.com/Roosters3642800/,Liquidation outlet,https://www.chapelhilltn.com/local-businesses
Sassy's Boutique,Retail & Shopping,451 Cornersville Rd Suite 100,Lewisburg,TN,37091,(931) 993-6937,,Downtown boutique,https://www.shopdowntown.org/pages/shop-downtown-Lewisburg-Tennessee
Shell Food Mart,Retail & Shopping,3287 Lewisburg Hwy,Petersburg,TN,37144,(931) 659-9717,,Gas station and convenience store,https://www.yelp.com/biz/shell-food-mart-petersburg
Sweet & Southern Accents,Retail & Shopping,,Chapel Hill,TN,37034,,https://www.facebook.com/SweetSouthernAccents1/,Women's/infant clothing jewelry home decor,https://www.chapelhilltn.com/local-businesses
The Weathered Farmhouse,Retail & Shopping,,Lewisburg,TN,37091,,,Home decor / farmhouse goods,https://www.shopdowntown.org/pages/shop-downtown-Lewisburg-Tennessee
Tina's Place,Retail & Shopping,109 Railroad St,Petersburg,TN,37144,(931) 659-9548,,Gas station and convenience store,https://www.yellowpages.com/petersburg-tn/mip/tinas-place-20740339
Tractor Supply Co.,Retail & Shopping,150 The Acres,Lewisburg,TN,37091,(931) 359-6131,https://www.tractorsupply.com/tsc/store_Lewisburg-TN-37091_185,"Farm, ranch and pet supply store",https://www.tractorsupply.com/tsc/store_Lewisburg-TN-37091_185
Walmart Supercenter,Retail & Shopping,1110 N Ellington Pkwy,Lewisburg,TN,37091,,https://www.walmart.com/store/737-lewisburg-tn,Supercenter (store 737),https://www.walmart.com/store/737-lewisburg-tn
Happy To Your Core,Fitness & Recreation,1626 Old Berlin Road,Lewisburg,TN,37091,,https://happytoyourcore.com,"A boutique reformer Pilates studio offering small, semi-private classes with personalized instruction.",https://happytoyourcore.com
Ashley Haselbauer Photography,Professional Services,,Lewisburg,TN,,(615) 944-8835,https://ashleyhaselbauerphotography.com,"Boutique maternity, newborn, and family photographer creating printed heirloom artwork for Middle Tennessee families.",https://ashleyhaselbauerphotography.com
"Red, White and Do",Home & Trades,,Lewisburg,TN,,(931) 675-2210,https://redwhiteanddotn.com,"Local handyman service for home and business repairs, installations, woodworking, and scheduled maintenance.",https://redwhiteanddotn.com
The Rusty Collar Pet Salon,Pets & Animals,,Lewisburg,TN,,,,"A local pet grooming salon, with doggy daycare coming soon.",
Redz Lawncare,Home & Trades,,Lewisburg,TN,37091,(931) 637-8911,,Local lawn care and mowing service in Marshall County,
The Vintage Scissor Salon,Beauty & Personal Care,116 W Church St,Lewisburg,TN,37091,,https://www.facebook.com/p/The-Vintage-Scissor-Salon-61561631726746/,"Upscale hair salon offering custom color, hair extensions, and Brazilian blowouts",
Neshama Birth,Health & Medical,,Lewisburg,TN,37091,,https://www.neshamabirth.us,Birth and postpartum doula serving Middle Tennessee,
Heartland Acres,Agriculture,,Lewisburg,TN,37091,,https://www.facebook.com/HeartlandAcresFarm/,Family farm growing fresh fruits and vegetables,
Heartland Family Designs,Retail & Shopping,,Lewisburg,TN,37091,,https://heartlandfamilydesigns.com/,Local handmade and custom design business,
